"Palay and Corn: Volume of Production by Ecosystem/Croptype, by Quarter, by Semester, by Region and by Province, 1987-2020 by Ecosystem/Croptype, Geolocation, Year and Period"

"Ecosystem/Croptype";"Geolocation";"1987 Annual";"1988 Annual";"1989 Annual";"1990 Annual";"1991 Annual";"1992 Annual";"1993 Annual";"1994 Annual";"1995 Annual";"1996 Annual";"1997 Annual";"1998 Annual";"1999 Annual";"2000 Annual";"2001 Annual";"2002 Annual";"2003 Annual";"2004 Annual";"2005 Annual";"2006 Annual";"2007 Annual";"2008 Annual";"2009 Annual";"2010 Annual";"2011 Annual";"2012 Annual";"2013 Annual";"2014 Annual";"2015 Annual";"2016 Annual";"2017 Annual";"2018 Annual";"2019 Annual";"2020 Annual"
"Palay";"PHILIPPINES";8539852.00;8971030.00;9458772.00;9319276.00;9673262.00;9128940.00;9434208.00;10538054.00;10540649.00;11283568.00;11268963.00;8554824.00;11786625.00;12389412.00;12954870.00;13270653.00;13499884.00;14496784.00;14603005.00;15326706.00;16240194.00;16815548.00;16266416.50;15772319.00;16684062.00;18032525.47;18439419.73;18967826.17;18149837.78;17627244.82;19276346.63;19066093.94;18814827.29;..
"Palay";"..CORDILLERA ADMINISTRATIVE REGION (CAR)";162466.00;186443.00;163249.00;165585.00;152559.00;156472.00;166961.00;191208.00;193221.00;209480.00;218523.00;169968.00;221370.00;255820.00;314295.00;304355.00;300776.00;355877.00;354429.00;397340.00;436311.00;445156.00;431656.00;400415.00;428949.00;453461.00;460170.00;452609.00;400911.00;382848.00;445006.00;391104.60;418320.58;..
"Palay";"..REGION I (ILOCOS REGION)";682581.00;841311.00;785823.00;847691.00;898584.00;826121.00;838253.00;917470.00;886517.00;992606.00;1076753.00;854117.00;1081888.00;1207890.00;1227227.00;1222292.00;1304374.00;1317574.00;1382877.00;1597168.00;1642301.00;1691629.00;1351715.00;1558373.00;1602814.00;1737695.00;1750057.00;1796229.00;1777121.00;1805126.00;1872052.00;1720043.52;1851265.37;..
"Palay";"..REGION II (CAGAYAN VALLEY)";996606.00;1091307.00;1094869.00;1164758.00;1033615.00;1088680.00;891678.00;1237259.00;1349258.00;1441343.00;1544728.00;1109372.00;1708809.00;1785137.00;1810196.00;1707575.00;1666484.00;1892311.00;1848849.00;1953755.00;2025245.00;2080240.00;2077036.00;1745722.00;2144766.00;2425536.47;2423200.33;2514934.17;2489647.28;2332654.04;2656978.51;2379771.42;2644702.34;..
"Palay";"..REGION III (CENTRAL LUZON)";1569191.00;1308126.00;1718402.00;1963919.00;1796659.00;1788259.00;1660423.00;1941049.00;1822089.00;1951153.00;2073590.00;1370260.00;1912735.00;1960232.00;2173837.00;2240379.00;2395461.00;2466441.00;2545853.00;2677633.00;2942113.00;3014347.00;2805467.00;2958415.00;2616083.00;3220607.00;3409468.00;3765150.00;3304310.00;3342883.12;3634807.00;3615115.12;3730180.33;..
"Palay";"..REGION IV-A (CALABARZON)";383421.00;413701.00;463383.00;421188.00;448065.00;455982.00;448269.00;411898.00;334811.00;394128.00;378471.00;319550.00;427915.00;376439.00;396000.00;377513.00;376534.00;402066.00;392323.00;358364.00;391418.00;428085.00;383035.00;390189.00;399193.00;389272.00;411785.00;405582.00;392907.00;407124.00;410833.00;420233.47;380781.96;..
"Palay";"..MIMAROPA REGION";454136.00;547817.00;531576.00;483109.00;621852.00;571586.00;575921.00;639032.00;593285.00;603563.00;647312.00;508694.00;709481.00;758719.00;745969.00;799627.00;818182.00;799768.00;785309.00;829867.00;877180.00;863215.00;930674.00;857532.00;981669.00;1030606.00;1033942.00;1081878.00;1081833.00;1080408.00;1159830.00;1230988.37;1195197.00;..
"Palay";"..REGION V (BICOL REGION)";581404.00;708817.00;668007.00;686998.00;744223.00;715459.00;665129.00;689570.00;598618.00;660966.00;687890.00;493493.00;720247.00;672293.00;697287.00;756808.00;761048.00;943214.00;981918.00;888772.00;991430.00;997581.00;1045501.00;1081078.00;1070917.00;1173307.00;1243241.40;1258147.00;1264448.00;1275492.00;1335077.00;1350438.32;1192903.96;..
"Palay";"..REGION VI (WESTERN VISAYAS)";1178375.00;1121945.00;1081546.00;886732.00;1183887.00;1238703.00;1484934.00;1442269.00;1291275.00;1474430.00;1327668.00;1044462.00;1531728.00;1608337.00;1589531.00;1732602.00;1767530.00;1935869.00;1800820.00;1987224.00;1992426.00;2117598.00;2205071.00;1789693.00;2245038.00;2292201.00;2090790.00;2052574.00;2056824.00;1896230.00;2230836.72;2232292.75;2077790.03;..
"Palay";"..REGION VII (CENTRAL VISAYAS)";149835.00;150643.00;230924.00;182940.00;207700.00;163693.00;198719.00;208451.00;230759.00;232067.00;236900.00;116443.00;208364.00;215192.00;225192.00;218724.00;193287.00;228896.00;208838.00;245131.00;251802.00;311801.00;276818.00;270449.00;322862.00;327120.00;347697.00;338822.00;336194.00;231982.00;325209.00;309459.00;223086.50;..
