"Other Crops: Volume of Production, by Region and by Province, 1990-2019"

"Crop";"Geolocation";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"Abaca";"..REGION X (NORTHERN MINDANAO)";1126.00;1058.00;1476.00;1960.00;2010.00;1749.00;2022.00;2290.00;2177.00;2003.47;2037.19;2094.40;1184.68;1139.83;1267.46;1765.85;1553.13;1569.48;1614.85;1741.23;1767.88;1824.77;2042.71;2243.88;3120.36;3198.57;3316.93;3417.47;3482.39;3514.53
"Cacao";"..REGION X (NORTHERN MINDANAO)";838.53;788.94;612.20;532.42;523.67;525.94;522.45;531.18;554.41;574.01;565.04;494.25;507.65;489.50;482.07;497.68;546.90;548.50;550.88;561.58;554.52;396.07;220.94;196.31;175.87;164.06;180.16;194.40;212.60;247.21
"Cashew (ripe fruit with nut)";"..REGION X (NORTHERN MINDANAO)";1444.36;1454.56;1408.22;1441.52;1500.38;1564.36;1635.10;2137.00;1141.86;1179.35;1162.54;1196.39;847.77;784.55;297.90;235.77;175.58;131.83;96.79;39.68;43.91;28.19;7.33;10.08;14.28;16.16;16.20;16.34;18.11;17.12
"Chrysanthemum";"..REGION X (NORTHERN MINDANAO)";..;..;..;..;..;..;5.60;6.15;6.30;6.48;7.42;13.87;16.76;18.29;20.91;22.72;27.64;29.25;33.51;41.43;50.27;54.96;57.39;62.83;69.56;65.62;73.65;77.65;76.38;74.72
"Coconut (with husk)";"..REGION X (NORTHERN MINDANAO)";947015.63;889176.01;882519.29;862701.59;860045.33;857730.85;749712.71;781423.42;761678.03;728914.03;1288293.00;1374173.81;1486980.89;1484132.15;1494230.64;1548758.15;1491119.96;1669281.24;1713354.00;1743337.77;1757164.52;1745949.54;1816501.47;1816577.68;1838404.69;1851702.14;1802402.56;1807046.16;1839731.49;1836112.35
"Coffee (dried berries)";"..REGION X (NORTHERN MINDANAO)";9990.19;10073.95;9362.15;9184.57;8364.08;7855.26;7774.56;7201.58;6867.66;6582.02;6601.05;6209.20;6286.29;6201.00;6108.23;6037.11;6292.47;6287.47;6203.44;6016.30;5956.83;5858.03;5225.30;5334.81;5415.67;5436.78;5604.95;5695.40;5739.12;5839.37
"Coffee Arabica (dried berries)";"..REGION X (NORTHERN MINDANAO)";1478.82;1274.08;1441.70;1435.40;1103.07;950.78;938.11;833.32;672.01;461.10;489.97;267.83;256.61;200.62;189.66;419.54;408.41;398.52;394.80;392.65;386.10;381.20;378.35;379.40;379.99;372.05;334.96;295.28;229.24;206.98
"Coffee Excelsa (dried berries)";"..REGION X (NORTHERN MINDANAO)";1153.08;1294.09;881.55;1059.48;1016.24;892.94;782.22;746.57;703.01;675.96;677.93;391.59;389.25;412.76;392.73;393.43;401.27;388.71;372.22;354.11;353.93;348.85;346.42;297.57;260.92;249.96;266.31;267.59;269.00;269.32
"Coffee Liberica (dried berries)";"..REGION X (NORTHERN MINDANAO)";3.94;4.92;2.61;4.08;4.08;4.08;4.08;4.08;4.08;4.08;4.08;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"Coffee Robusta (dried berries)";"..REGION X (NORTHERN MINDANAO)";6768.29;6893.86;6479.30;6267.67;5902.25;5722.55;5597.44;5252.59;5138.56;5114.65;5092.78;5223.61;5315.49;5211.67;5176.93;5224.15;5482.79;5499.74;5435.02;5267.11;5214.00;5127.98;4500.53;4657.84;4774.76;4814.77;5003.68;5132.54;5240.88;5363.07
