REGION,1972-1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Philippines,1583324,89511,77275,72188,75560,71962,71682,88152,72280,94807,90738,43792,63298,62262,48806,87087,54854,30107,23965,34572,25613,20621,6487
CAR,45561,3314,2864,2676,2725,2598,2005,2778,3066,3656,2981,1093,1530,1455,803,1055,1158,220,54,282,175,178,22
Ilocos Region,83390,1186,1514,560,3217,3347,3402,3408,3309,4545,4285,1544,2864,504,483,612,338,134,289,450,395,29,
Cagayan Valley ,148094,6143,5423,3538,3590,2825,2840,5100,5513,5414,6138,3385,2578,1487,927,4118,1771,1357,1121,771,913,644,144
Central Luzon,193564,9464,8171,7219,6103,5667,5327,4894,4561,4758,4539,4329,4997,3403,3295,5232,2341,1619,1530,3506,3402,"1,864",506
Calabarzon,64496,5089,3576,2595,3951,3461,3458,3043,3390,4787,4094,2429,3428,3465,3569,2579,3345,1693,985,1252,432,754,137
MIMAROPA,76714,4670,4293,4217,3171,2712,2711,4295,4506,4538,2754,2170,4592,2637,1969,1805,793,803,777,562,774,199,90
Bicol,105289,7499,4983,6055,6873,4906,3504,6464,8158,9030,9791,2373,4586,4409,1523,3487,2786,1566,1372,2303,1264,2053,691
Western Visayas,156076,8985,8739,10213,13136,13662,11635,6877,9591,12240,6213,3802,3542,2629,4164,7358,5854,13161,8805,12550,9569,"5,888",2711
Cenral Visayas,60374,3750,3943,4249,4452,4587,4647,8863,4743,8213,9215,4819,6730,8828,3635,1395,1563,1203,1218,1196,728,945,189
Eastern Visayas,91429,11108,9155,7792,8895,7657,10041,12498,5003,9839,10510,2103,3018,3458,291,364,543,681,808,1699,1750,"1,496",315
Zamboanga Peninsula,88973,2695,2235,2212,2285,1918,1870,2248,3448,3388,4955,2247,2604,3896,1835,1186,1239,553,533,552,439,200,37
Northern Mindanao ,116124,6119,5441,4430,2940,4000,3270,3505,4235,4781,4099,2761,1897,5262,8457,27010,6004,1029,1906,993,1127,1684,557
Davao Region,102138,6105,6692,5077,4367,5138,3902,4674,6363,6543,8632,3153,4393,2997,2703,3176,2105,699,731,1059,453,635,70
SOCCKSSARGEN,124759,10773,8216,8489,5139,5704,8167,11611,3892,8747,7422,4647,9428,11349,11396,17361,18973,3744,2720,6568,3285,3352,889
Caraga,77711,2129,1960,1899,1764,2468,2235,3925,2353,4109,4130,1405,6659,4883,3046,7831,5363,1142,1102,827,774,672,129
ARMM,48632,482,70,967,2952,1312,2668,3969,149,219,980,1532,452,1600,710,2518,678,503,14,2,133,28,
