REGION,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Philippines,23783.44,24136.77,25097.7,26259.22,26237.5,26081.99,26070.05,,26272.03,26422.17,26554.44,26593.59,26153.61,26720.23,27369.37,27649.87,27895.21,29246.91,29734.05,29877.6,30029.84,30029.84,30029.84,28951.7,29208.26,29369.7,29650.36,29898.09,31242.38,31359.12,31597.68,32226.93,32526.5,32633.37,32770.27,32932.71,32932.71,
NCR,674.96,675.05,859.2,876.16,882.29,882.13,899.04,,888.02,903.06,951.96,976.61,889.11,904.59,867.26,867.26,867.26,884.21,893.43,890.98,890.74,890.74,890.74,989.03,1028.92,,,,,,,,,,,,,
CAR,,,,,1612.44,1613.33,1593.91,,1604.14,1593.74,1586.4,1588.58,1596.15,1596.15,1759,1819.32,1819.33,1846.12,1880.02,1878.45,1862.59,1862.59,1862.59,1706.81,1843.86,,,,,,,,,,,,,
Ilocos Region (Region 1),2159.34,2158.63,2329.16,2393.76,1438.34,1428.68,1431.41,,1454.45,1494.72,1488.77,1488.77,1499.81,1493.43,1493.12,1488.26,1483.16,1604.79,1612.64,1610.86,1690.6,1690.6,1690.6,1609,1609,,,,,,,,,,,,,
Cagayan Valley (Region 2),2272.75,2279.87,2254.89,2307.23,1662.45,1651.01,1653.1,,1654.44,1677.71,1707.13,1707.13,1708.29,1709.18,1733.27,1733.06,1735.71,1816.61,1833.48,1859.88,1896.65,1896.65,1896.65,1751.19,1988.66,,,,,,,,,,,,,
Central Luzon (Region 3),1608.38,1660.03,1863.89,1689.87,1929.46,1692.24,1692.17,,1701.05,1698.47,1699.47,1698.47,1704.9,1653.46,1668.47,1683.68,1683.09,1704.89,2002.04,1741.99,1997.42,1997.42,1997.42,1720.86,1770.35,,,,,,,,,,,,,
Calabarzon (Region 4A),2130.79,2135.04,2024.88,2351.72,2137.84,2337.97,2338.68,,2284.45,2275.95,2271.22,2271.22,2282.79,2311.85,2350.05,2367.41,2408.11,2545.94,2288.74,2544.32,2331.38,2331.38,2331.38,2613.16,2404.1,,,,,,,,,,,,,
MIMAROPA (Region 4B),1452.3,1459.84,1697.2,1705.95,1706.58,1689.95,1690.56,,1661.32,1687,1678.32,1686.2,1738.53,1850.35,1837.77,1925.97,1921.93,2033.07,2158.5,2199.92,2195.16,2195.16,2195.16,2016.76,2184.94,,,,,,,,,,,,,
Bicol (Region 5),1643.99,1644.86,1843.29,2034.6,1949.87,1936.8,1936.65,,1980.08,1975.36,1975.47,1994.27,2007.79,1997.84,2007.63,1997.4,2113.83,2223.74,2223.71,2225.59,2227.22,2227.22,2227.22,2171.49,2196.16,,,,,,,,,,,,,
Western Visayas (Region 6),2076.98,2407.44,2375.16,2595.36,2613.79,2632.82,2621.75,,2670.73,2670.73,2669.87,2669.87,2670.93,2712.06,2842.46,2841.44,2865.45,2916.76,2932.14,2925.26,2922.94,2922.94,2922.94,2879.21,2879.97,,,,,,,,,,,,,
Central Visayas (Region 7),1656.06,1659.95,1663.95,1677.16,1678.67,1666.74,1664.12,,1664.09,1659.27,1696.12,1682.58,1703.12,1664.3,1677.46,1677.36,1677.06,1870.81,1807.73,1867.38,1876.86,1876.86,1876.86,1910.58,2032.58,,,,,,,,,,,,,
Eastern Visayas (Region 8),1883.65,1883.64,1903.46,1985.14,1984.28,1963.62,1959.68,,2056.17,2095.45,2102.06,2102.06,2104.25,2104.25,2128.94,2205.47,2211.28,2317.99,2326.64,2326.36,2323.53,2323.53,2323.53,2313.44,2332.44,,,,,,,,,,,,,
Zamboanga Peninsula (Region 9),905.93,905.93,964.74,1040.21,1027.57,1019.24,1019.24,,834.67,1079.65,1091.87,1092.01,1085.88,857.99,1006.87,1008.15,1007.61,1149.5,1165.09,1051.26,1052.37,1052.37,1052.37,959.48,1210.68,,,,,,,,,,,,,
Northern Mindanao (Region 10),2121.39,2099.2,2134.07,2207.39,2181.37,2151.85,2141.09,,2194.15,2200,2201.42,2201.42,2226.6,1335.12,1314.73,1316.73,1332.12,1365.71,1387.43,1615.01,1614.88,1614.88,1614.88,1523.53,1619,,,,,,,,,,,,,
Davao Region (Region 11),1966.79,1939.31,1939.31,1959.8,1962.59,1954.12,1967.38,,1967.15,1978.1,1996.43,1996.47,1995.9,1804.09,1706.6,1763.82,1788.4,1939.9,1976.69,1460.99,1466.46,1466.46,1466.46,1439.07,1446.61,,,,,,,,,,,,,
SOCCKSSARGEN (Region 12,1230.16,1228,1244.5,1434.87,1469.97,1461.48,1461.28,,930.15,1432.98,1437.95,1437.95,939.57,775.89,974.4,974.15,974.02,1010.56,1128.25,1384.74,1386.76,1386.76,1386.76,1274.08,1304.09,,,,,,,,,,,,,
Caraga (Region 13),,,,,,,,,,,,,,1225.45,1277.12,1256.18,1282.63,1292.12,1381.79,1380.43,1362.02,1362.02,1362.02,1356.93,1356.93,,,,,,,,,,,,,
ARMM,,,,,,,,,726.98,,,,,724.22,724.22,724.22,724.22,724.22,735.73,914.21,932.27,932.27,932.27,717.07,,,,,,,,,,,,,,
